measure_id,measure_name,measure_category,numerator,denominator,exclusions,performance_rate,national_benchmark,measure_weight,performance_year,performance_month
QM001,Diabetes HbA1c Control,chronic_disease,793,1008,47,78.67,76.5,2.0,2026,1
QM002,Hypertension Control,chronic_disease,860,960,98,89.58,90.1,2.0,2026,1
QM003,Breast Cancer Screening,preventive_care,1016,1200,79,84.67,91.18,1.0,2026,1
QM004,Colorectal Cancer Screening,preventive_care,729,922,84,79.07,83.52,1.0,2026,1
QM005,Depression Screening,preventive_care,743,917,94,81.03,85.18,1.0,2026,1
QM006,Fall Risk Assessment,care_coordination,726,879,56,82.59,83.05,1.5,2026,1
QM007,Medication Reconciliation,care_coordination,573,831,46,68.95,71.12,1.5,2026,1
QM008,Care Transition Record,care_coordination,806,1084,76,74.35,87.97,1.5,2026,1
QM009,Patient Satisfaction,patient_experience,869,1053,24,82.53,73.19,1.0,2026,1
QM010,Access to Care,patient_experience,771,892,82,86.43,88.87,1.0,2026,1
QM011,Pneumonia Vaccination,preventive_care,784,899,79,87.21,90.45,1.0,2026,1
QM012,Flu Vaccination,preventive_care,723,822,90,87.96,98.0,1.0,2026,1
QM013,COPD Management,chronic_disease,675,807,59,83.64,82.39,2.0,2026,1
QM014,Heart Failure Management,chronic_disease,727,952,64,76.37,68.32,2.0,2026,1
QM015,Tobacco Use Screening,preventive_care,935,1152,45,81.16,82.78,1.0,2026,1
QM016,BMI Assessment,preventive_care,616,829,11,74.31,72.83,1.0,2026,1
QM017,Eye Exam - Diabetic,chronic_disease,720,1086,72,66.3,73.97,2.0,2026,1
QM018,Kidney Health,chronic_disease,795,1109,65,71.69,74.43,2.0,2026,1
QM019,Advance Care Planning,care_coordination,648,957,93,67.71,76.95,1.5,2026,1
QM020,Hospital Readmission,care_coordination,752,1081,72,69.57,80.43,1.5,2026,1
QM021,Provider Communication,patient_experience,700,838,79,83.53,90.18,1.0,2026,1
QM022,Timely Appointments,patient_experience,702,913,35,76.89,79.17,1.0,2026,1
QM023,Overall Rating,patient_experience,817,1006,36,81.21,85.47,1.0,2026,1
